Latitude,Longitude,Sim_10000_nutdiff_mean,Sim_1000_nutdiff_mean,Sim_100_nutdiff_mean
-65,-180,0,0,0
-65,-178,0,0,0
-65,-176,0,0,0
-65,-174,0,0,0
-65,-172,0,0,0
-65,-170,0,0,0
-65,-168,0,0,0
-65,-166,0,0,0
-65,-164,0,0,0
-65,-162,0,0,0
-65,-160,0,0,0
-65,-158,0,0,0
-65,-156,0,0,0
-65,-154,0,0,0
-65,-152,0,0,0
-65,-150,0,0,0
-65,-148,0,0,0
-65,-146,0,0,0
-65,-144,0,0,0
-65,-142,0,0,0
-65,-140,0,0,0
-65,-138,0,0,0
-65,-136,0,0,0
-65,-134,0,0,0
-65,-132,0,0,0
-65,-130,0,0,0
-65,-128,0,0,0
-65,-126,0,0,0
-65,-124,0,0,0
-65,-122,0,0,0
-65,-120,0,0,0
-65,-118,0,0,0
-65,-116,0,0,0
-65,-114,0,0,0
-65,-112,0,0,0
-65,-110,0,0,0
-65,-108,0,0,0
-65,-106,0,0,0
-65,-104,0,0,0
-65,-102,0,0,0
-65,-100,0,0,0
-65,-98,0,0,0
-65,-96,0,0,0
-65,-94,0,0,0
-65,-92,0,0,0
-65,-90,0,0,0
-65,-88,0,0,0
-65,-86,0,0,0
-65,-84,0,0,0
-65,-82,0,0,0
-65,-80,0,0,0
-65,-78,0,0,0
-65,-76,0,0,0
-65,-74,0,0,0
-65,-72,0,0,0
-65,-70,0,0,0
-65,-68,0,0,0
-65,-66,0,0,0
-65,-64,0,0,0
-65,-62,0,0,0
-65,-60,0,0,0
-65,-58,0,0,0
-65,-56,0,0,0
-65,-54,0,0,0
-65,-52,0,0,0
-65,-50,0,0,0
-65,-48,0,0,0
-65,-46,0,0,0
-65,-44,0,0,0
-65,-42,0,0,0
-65,-40,0,0,0
-65,-38,0,0,0
-65,-36,0,0,0
-65,-34,0,0,0
-65,-32,0,0,0
-65,-30,0,0,0
-65,-28,0,0,0
-65,-26,0,0,0
-65,-24,0,0,0
-65,-22,0,0,0
-65,-20,0,0,0
-65,-18,0,0,0
-65,-16,0,0,0
-65,-14,0,0,0
-65,-12,0,0,0
-65,-10,0,0,0
-65,-8,0,0,0
-65,-6,0,0,0
-65,-4,0,0,0
-65,-2,0,0,0
-65,0,0,0,0
-65,2,0,0,0
-65,4,0,0,0
-65,6,0,0,0
-65,8,0,0,0
-65,10,0,0,0
-65,12,0,0,0
-65,14,0,0,0
-65,16,0,0,0
-65,18,0,0,0
-65,20,0,0,0
-65,22,0,0,0
-65,24,0,0,0
-65,26,0,0,0
-65,28,0,0,0
-65,30,0,0,0
-65,32,0,0,0
-65,34,0,0,0
-65,36,0,0,0
-65,38,0,0,0
-65,40,0,0,0
-65,42,0,0,0
-65,44,0,0,0
-65,46,0,0,0
-65,48,0,0,0
-65,50,0,0,0
-65,52,0,0,0
-65,54,0,0,0
-65,56,0,0,0
-65,58,0,0,0
-65,60,0,0,0
-65,62,0,0,0
-65,64,0,0,0
-65,66,0,0,0
-65,68,0,0,0
-65,70,0,0,0
-65,72,0,0,0
-65,74,0,0,0
-65,76,0,0,0
-65,78,0,0,0
-65,80,0,0,0
-65,82,0,0,0
-65,84,0,0,0
-65,86,0,0,0
-65,88,0,0,0
-65,90,0,0,0
-65,92,0,0,0
-65,94,0,0,0
-65,96,0,0,0
-65,98,0,0,0
-65,100,0,0,0
-65,102,0,0,0
-65,104,0,0,0
-65,106,0,0,0
-65,108,0,0,0
-65,110,0,0,0
-65,112,0,0,0
-65,114,0,0,0
-65,116,0,0,0
-65,118,0,0,0
-65,120,0,0,0
-65,122,0,0,0
-65,124,0,0,0
-65,126,0,0,0
-65,128,0,0,0
-65,130,0,0,0
-65,132,0,0,0
-65,134,0,0,0
-65,136,0,0,0
-65,138,0,0,0
-65,140,0,0,0
-65,142,0,0,0
-65,144,0,0,0
-65,146,0,0,0
-65,148,0,0,0
-65,150,0,0,0
-65,152,0,0,0
-65,154,0,0,0
-65,156,0,0,0
-65,158,0,0,0
-65,160,0,0,0
-65,162,0,0,0
-65,164,0,0,0
-65,166,0,0,0
-65,168,0,0,0
-65,170,0,0,0
-65,172,0,0,0
-65,174,0,0,0
-65,176,0,0,0
-65,178,0,0,0
-63,-180,0,0,0
-63,-178,0,0,0
-63,-176,0,0,0
-63,-174,0,0,0
-63,-172,0,0,0
-63,-170,0,0,0
-63,-168,0,0,0
-63,-166,0,0,0
-63,-164,0,0,0
-63,-162,0,0,0
-63,-160,0,0,0
-63,-158,0,0,0
-63,-156,0,0,0
-63,-154,0,0,0
-63,-152,0,0,0
-63,-150,0,0,0
-63,-148,0,0,0
-63,-146,0,0,0
-63,-144,0,0,0
-63,-142,0,0,0
-63,-140,0,0,0
-63,-138,0,0,0
-63,-136,0,0,0
-63,-134,0,0,0
-63,-132,0,0,0
-63,-130,0,0,0
-63,-128,0,0,0
-63,-126,0,0,0
