,Latitude,Longitude,10,11,12,13,14,15,16,17,18,EndAbd,EctAbd
41,-43,-64,520898738.2,10207209.34,111596033.9,10475668114,6001516.977,6128476396,597958363.8,89568955.37,346895205.4,642701981.4,17644568551
42,-43,144,2107744011,0,1677171022,30286429043,1157347955,5276848073,940861516.9,1468716545,1272310596,3784915032,40402513728
43,-43,146,2024114681,0,1272888004,61337831436,274193461.2,7709285787,1356277432,722264945.5,654538925.2,3297002685,72054391987
44,-43,170,6873491826,5235149.97,2053614885,28844189124,1758932117,9595023536,1300483454,1247304475,1091834536,8932341861,43837767243
45,-43,172,5402811071,30300304.82,1242228140,15313752371,544994431.7,9234807773,1193188259,840096311.8,1463369596,6675339516,28590208741
46,-43,174,4268494466,115894880,1447230329,72255810967,3397280605,21415844662,2113633862,1937001378,1783551734,5831619675,1.03E+11
47,-41,-74,1809406598,10939745.39,1130905271,4643518440,196257783.7,17220933335,921833757.8,560127198.4,685673056.3,2951251615,24228343571
48,-41,-72,14757429393,1641014.994,9982386881,1.27E+11,572206255,13723502845,1208777157,839733393.5,2658350415,24741457289,1.46E+11
49,-41,-70,71067522.41,3526448.662,71836824.92,16153650657,405572758.4,10919165647,3359565241,786995755.7,1702942818,146430796,33327892876
50,-41,-68,76271567.28,148281.3784,13491370.66,4996194936,436342874.2,2513555448,1588240014,231286064.3,927699337.3,89911219.31,10693318674
51,-41,-66,2333892563,20618210.7,701956485.1,7970150778,146566192.4,6918429361,1365479720,209707803.7,312943074.7,3056467258,16923276929
52,-41,-64,2287084428,4539925.799,869367152.6,34312604990,220062208.7,4552427288,730966148.7,257957815.5,457709655.5,3160991506,40531728106
53,-41,174,5436869046,14179349.57,2758683037,27103829280,1188321929,76951797486,1330504303,866463113.1,1390279781,8209731433,1.09E+11
54,-41,176,2232853566,26212861.54,1188719259,43283796012,683035119.4,18171405235,1652783070,421816719.6,721342635.9,3447785686,64934178792
55,-39,-74,27079101799,127593334,5959321209,4826153615,1582974889,5756225881,2960854393,1800229568,1878926727,33166016342,18805365073
56,-39,-72,2899435613,95025071.72,957155062.4,8234953383,260311853.3,1.87E+11,1236463148,441415827.8,633881521.9,3951615747,1.98E+11
57,-39,-70,18634539.96,55305.16347,16579865,10391030438,112641771.8,4650059164,1141493069,119921997.4,907775021.8,35269710.13,17322921462
58,-39,-68,825841112.2,3604906.355,116453094,9093165148,33680494.19,5402542172,1551875749,168731108.5,1282044633,945899112.6,17532039305
59,-39,-66,5176957970,6498167.059,3243488757,6540718096,654682131.2,2625316285,1244431770,311368833.5,1160634710,8426944894,12537151826
60,-39,-64,22544333900,41299129.81,4993333474,7141110600,1281969770,6833828863,2155013705,794151818.3,1465016225,27578966504,19671090981
61,-39,-62,10838969592,73257891.4,9911124235,4184815278,466444297.9,4018639639,2587816812,4049697416,2232846170,20823351718,17540259613
62,-39,-60,4297628466,211705494.5,2151684288,6833645290,123586032,7819192291,1362361688,433192998.7,1196579927,6661018249,17768558227
63,-39,-58,17840056105,14834855.24,12973363401,11335581606,1420031333,8949142165,2545035467,767184634.7,1242002513,30828254362,26258977718
64,-39,140,5295149140,64915616.55,1016342759,84322977505,367009748.4,3.57E+11,1838338305,981393432.8,1837385999,6376407515,4.47E+11
65,-39,142,4597806889,479713.4413,1148291639,47551770685,859909200.2,45959146065,1814891411,940709143.9,821912157.7,5746578242,97948338662
66,-39,144,3642087396,104432776,1803298714,4210981110,1071382985,4134898345,1770525575,403364875.4,1243621950,5549818886,12834774840
67,-39,146,4051411735,23982245.65,1133063616,5096824555,121372035.5,45089774531,758461466.6,318567885.8,687469231.6,5208457597,52072469706
68,-39,148,2875243162,97236615.78,1837724023,11684450061,232008340.5,3852524904,1283931213,344734289.2,948078201.8,4810203801,18345727009
69,-39,174,3353325576,61602050.46,1421900049,14133789202,247980901.5,6650070226,1351953004,853000533.7,807303379.2,4836827675,24044097247
70,-39,176,3141575996,60073228.09,1173145185,55332568708,215824678.3,16979919956,700500906.5,514787502.9,611090920.7,4374794410,74354692672
71,-37,-74,21642624775,12266632.19,21064850916,48350704712,4573667432,9577477972,3724678506,5553343695,8972243359,42719742322,80752115676
