Simulation ,Thermo,Biomass
Sim_10000,Endotherm,3.54E+15
Sim_10000,Ectotherm,4.98E+14
Sim_1000,Endotherm,3.25E+15
Sim_1000,Ectotherm,5.45E+14
Sim_100,Endotherm,2.74E+15
Sim_100,Ectotherm,5.81E+14
